discomfort,inefficiency,travel,queue
0.107843353,1.544459187,0.538356444,0.006346057
0.096823798,1.545334307,0.276376002,0.005693802
0.093634668,1.553264709,0.251123976,0.011226072
0.093603369,1.566037721,0.218901148,0.028980043
0.090518605,1.612932986,0.192718659,0.051941735
,,,
,,,
,,,
