,index,x,y,time,demand,energy,grid_id
0,45892,6279.167546050886,8695.20520000026,11.107777777777777,0.7166666666666667,55.85,17
1,26478,11009.87448922084,6582.796880000027,12.285,0.016666666666666666,0.1,51
2,19075,4028.1673475436355,3665.8789200005485,14.723611111111111,3.2333333333333334,22.6,31
3,3678,8843.246481298522,2976.9194400006477,16.941388888888888,3.433333333333333,22.3,16
4,24776,9153.686296352518,4892.736640000493,0.03333333333333333,2.6666666666666665,18.18,36
5,817,8268.474677322514,903.9184000005827,13.369722222222222,3.033333333333333,19.17,79
6,39517,10055.611086063107,6947.369880000265,15.33,2.316666666666667,16.39,10
7,48219,10029.368475959378,6990.896000000318,2.0833333333333335,3.183333333333333,21.6,90
8,32779,7837.597408635994,3893.9736000004955,17.447777777777777,0.06666666666666667,0.43,89
9,61339,8843.246481298522,2976.9194400006477,8.520277777777778,0.6666666666666666,24.57,16
10,28732,3618.987879389821,4736.888640000066,9.614444444444445,6.533333333333333,44.88,29
11,52505,6477.526492812652,1280.6252800002426,8.020000000000001,5.566666666666666,38.47,62
12,8192,5231.442333166143,4010.303000000244,18.51527777777778,2.7333333333333334,8.5,56
13,13581,8559.489096629317,8238.904520000648,22.122222222222224,1.6666666666666667,11.6,73
14,13099,6395.280100252887,5653.7201600004755,7.859444444444444,0.7666666666666667,4.86,54
15,48137,8345.663136649971,7102.10468000034,5.545277777777778,1.5833333333333333,11.3,57
16,30794,7626.703583863757,5534.719080000354,10.397222222222222,1.6833333333333333,8.93,20
17,13769,7263.558638461773,4527.050439999902,0.13777777777777778,5.216666666666667,30.6,0
18,10863,5231.442333166143,4010.303000000244,10.045277777777777,1.4166666666666667,10.0,56
19,69117,6938.164933851449,2281.948680000104,18.63361111111111,2.433333333333333,9.03,87
20,52682,7165.991839444804,9202.935720000536,17.739722222222223,2.1666666666666665,13.9,71
21,58567,9760.271767325781,8173.114400000647,15.478055555555555,0.4,16.75,80
22,32160,6264.50687001528,5012.739600000459,13.555833333333334,2.533333333333333,15.71,19
23,64358,9153.686296352518,4892.736640000493,15.466388888888888,0.4,3.62,36
24,31788,2301.94604773098,6808.553840000339,8.420277777777777,5.916666666666667,39.09,22
25,32731,3112.6814325001023,7869.099480000174,19.449722222222224,1.6166666666666667,10.06,47
26,69116,7335.029434135357,7113.01404000048,10.976111111111111,1.4,5.22,11
27,6134,5733.057363724462,6192.508960000644,15.242777777777777,5.866666666666666,39.12,53
28,14879,8268.474677322514,903.9184000005827,11.596111111111112,2.5833333333333335,18.2,79
29,45054,2557.8481479325096,6285.68380000032,4.487222222222222,0.5333333333333333,14.18,33
30,38903,10055.611086063107,6947.369880000265,17.150277777777777,2.566666666666667,17.15,10
31,30252,361.5322710381025,2455.1626000001907,13.969444444444445,2.4166666666666665,14.53,67
32,54923,2966.514492425104,5956.844520000034,19.753333333333334,0.6666666666666666,14.62,86
33,17629,4028.1673475436355,3665.8789200005485,20.216666666666665,0.95,6.54,31
