,index,x,y,time,demand,energy,grid_id
0,37467,6496.585371658937,651.2220000002619,17.320555555555554,0.85,5.8,63
1,9149,5231.442333166143,4010.303000000244,21.496666666666666,8.0,50.8,56
2,37924,9153.686296352518,4892.736640000493,19.56833333333333,6.933333333333334,43.64,36
3,32748,361.5322710381025,2455.1626000001907,14.030833333333334,0.35,2.34,67
4,69334,5231.442333166143,4010.303000000244,18.910833333333333,0.5833333333333334,7.35,56
5,64207,6150.886630739291,8319.054919999986,16.183333333333334,2.1333333333333333,7.59,7
6,38838,7626.703583863757,5534.719080000354,7.934166666666667,2.75,18.5,20
7,68767,10462.151632530533,5481.396800000513,9.346388888888889,3.783333333333333,19.02,1
8,20163,8787.418626954915,3483.759400000008,14.403611111111111,1.5833333333333333,5.7,6
9,9148,6000.394791233802,1045.072160000143,12.009722222222223,0.6333333333333333,4.57,3
10,24257,10462.151632530533,5481.396800000513,18.42777777777778,6.416666666666667,45.45,1
11,49250,6395.280100252887,5653.7201600004755,20.930555555555557,4.35,11.69,54
12,2005,6599.649924189245,3419.1938000000796,18.733888888888888,2.0,12.73,23
13,2006,11491.770910511277,5428.631120000059,21.972777777777775,4.0,25.8,75
14,8493,7626.703583863757,5534.719080000354,23.585277777777776,2.7,8.6,20
15,56354,10462.151632530533,5481.396800000513,9.97638888888889,0.6166666666666667,9.96,1
16,51082,3821.01199516048,3886.292520000114,12.25361111111111,3.1,9.47,28
17,15317,6477.526492812652,1280.6252800002426,6.964444444444444,3.6666666666666665,22.99,62
18,38933,9752.281698886396,3611.8887200000217,16.10777777777778,1.9833333333333334,12.88,59
19,71448,11452.795503270596,3369.1331960003886,9.679722222222221,0.9166666666666666,6.33,8
20,37619,10029.368475959378,6990.896000000318,10.799722222222222,1.0333333333333334,7.14,90
21,21694,5231.442333166143,4010.303000000244,19.212777777777777,4.7,29.4,56
22,43589,2058.358915399357,5122.501120000179,12.45611111111111,0.3,13.57,2
23,20765,8559.489096629317,8238.904520000648,20.693333333333335,2.45,15.0,73
24,65053,8427.044549323651,7761.2860600002805,11.603333333333333,1.5166666666666666,10.9,70
25,48139,10055.611086063107,6947.369880000265,9.48611111111111,0.2833333333333333,1.0,10
26,5067,3345.7715207902206,1497.69928000033,21.346666666666664,2.6166666666666667,16.1,46
27,39684,2557.8481479325096,6285.68380000032,12.153333333333334,1.8,6.7,33
28,67542,11009.87448922084,6582.796880000027,13.312222222222223,0.4666666666666667,11.87,51
29,67779,11013.686264990076,2124.430879999937,9.152777777777779,4.25,11.19,61
30,31131,9153.686296352518,4892.736640000493,11.59138888888889,2.9833333333333334,20.76,36
31,34547,235.52376051205067,3523.611960000635,18.89472222222222,0.8666666666666667,6.1,68
32,38320,8787.418626954915,3483.759400000008,17.09722222222222,0.2,1.36,6
33,52520,2341.163356126244,7601.1522400003905,18.58277777777778,1.6333333333333333,10.46,49
34,43021,7335.029434135357,7113.01404000048,17.734166666666667,0.48333333333333334,13.49,11
35,68100,10469.335363787975,2777.1000400005,11.917777777777777,0.2,1.12,88
36,44909,10907.68957725266,4685.90407999986,1.238611111111111,4.0,23.5,82
37,19382,11009.87448922084,6582.796880000027,16.50583333333333,0.9166666666666666,6.17,51
38,30586,6279.167546050886,8695.20520000026,8.849166666666667,2.4833333333333334,16.53,17
39,17798,6339.52554928947,4169.913616000347,14.509722222222223,2.6,17.5,26
40,34427,3538.2808578137815,6052.4684000006455,22.36416666666667,6.666666666666667,45.46,34
41,68099,9153.686296352518,4892.736640000493,11.22888888888889,0.6833333333333333,19.69,36
42,34331,10029.368475959378,6990.896000000318,15.771944444444445,1.9666666666666666,13.5,90
43,26605,6395.280100252887,5653.7201600004755,15.496944444444443,1.95,12.8,54
44,13180,4306.6468888399995,7365.821760000519,14.366944444444444,0.016666666666666666,0.12,69
45,34426,8427.044549323651,7761.2860600002805,18.39361111111111,2.65,18.18,70
46,39967,7837.597408635994,3893.9736000004955,9.300277777777778,0.6666666666666666,17.69,89
47,48590,3538.2808578137815,6052.4684000006455,23.61777777777778,0.6666666666666666,24.59,34
48,52392,11452.795503270596,3369.1331960003886,17.016666666666666,1.9,12.4,8
49,10318,7165.991839444804,9202.935720000536,0.5861111111111111,2.5833333333333335,18.19,71
50,28365,8102.955644880511,5576.798040000105,18.854444444444447,2.7333333333333334,18.59,78
51,26616,6220.891358809337,3700.2767999999187,14.07611111111111,1.1666666666666667,7.56,55
52,52217,6395.280100252887,5653.7201600004755,9.398333333333333,3.1666666666666665,20.76,54
53,51381,10469.335363787975,2777.1000400005,15.265833333333333,1.55,3.92,88
54,48511,5733.057363724462,6192.508960000644,5.108888888888888,1.45,10.4,53
55,52218,6496.585371658937,651.2220000002619,17.31833333333333,0.43333333333333335,2.77,63
56,38818,9760.271767325781,8173.114400000647,12.555555555555557,5.133333333333334,35.7,80
57,34124,1388.659234092802,4918.562880000149,14.341111111111111,0.016666666666666666,0.1,84
58,65074,11009.87448922084,6582.796880000027,7.253611111111111,0.4666666666666667,1.8,51
59,3215,10517.27577442441,7282.665720000069,8.126944444444446,2.65,18.19,74
60,7890,4747.713327371259,7538.36775999992,21.22583333333333,6.0,39.21,12
61,27011,7626.703583863757,5534.719080000354,16.254444444444445,1.0,6.9,20
62,38067,6339.52554928947,4169.913616000347,9.793333333333333,5.0,20.07,26
63,7344,2557.8481479325096,6285.68380000032,16.545,1.5166666666666666,9.9,33
64,13364,8268.474677322514,903.9184000005827,17.26888888888889,3.4166666666666665,22.3,79
65,13363,11491.770910511277,5428.631120000059,16.9575,0.26666666666666666,1.84,75
66,50289,4768.531487341835,1830.991360000447,17.75888888888889,2.85,18.95,40
67,60878,11009.87448922084,6582.796880000027,5.768611111111111,0.6666666666666666,16.57,51
68,68376,8427.044549323651,7761.2860600002805,15.850277777777777,0.6333333333333333,17.79,70
69,2549,4028.1673475436355,3665.8789200005485,22.52361111111111,8.15,47.8,31
70,69780,1824.0813123503447,3474.7424800006265,14.163333333333334,0.8,34.55,65
71,39791,10517.27577442441,7282.665720000069,9.606944444444444,2.9833333333333334,20.7,74
72,39792,5333.0408180929135,4689.243680000129,18.534722222222225,4.566666666666666,31.3,30
73,13265,10055.611086063107,6947.369880000265,23.395,3.816666666666667,25.5,10
74,15936,4301.442348847379,4192.867800000451,20.555555555555557,3.25,18.18,32
75,35318,11491.770910511277,5428.631120000059,10.115833333333333,1.4166666666666667,9.9,75
76,37540,10469.335363787975,2777.1000400005,13.046944444444444,1.6833333333333333,11.6,88
77,22774,3998.112961670638,6774.267279999897,14.477500000000001,2.683333333333333,16.4,35
78,27998,8787.418626954915,3483.759400000008,12.925555555555555,7.85,55.77,6
79,25689,7165.991839444804,9202.935720000536,11.481388888888889,1.6666666666666667,11.9,71
80,22406,7704.4051668525,6730.963800000073,6.783888888888889,2.7333333333333334,16.1,58
81,8349,5285.320317597013,8471.674639999865,10.77138888888889,2.716666666666667,19.4,72
82,60679,4301.442348847379,4192.867800000451,16.91888888888889,0.4166666666666667,8.26,32
83,58000,6638.354108923257,4347.825239999964,12.329166666666666,1.7833333333333334,48.91,21
84,35087,7626.703583863757,5534.719080000354,20.45138888888889,3.533333333333333,23.9,20
85,59491,6599.649924189245,3419.1938000000796,15.740555555555554,0.6666666666666666,20.31,23
86,836,5196.843137722122,1765.5352000003938,14.900555555555556,1.8833333333333333,10.93,42
87,33670,9153.686296352518,4892.736640000493,16.101666666666667,2.1666666666666665,14.12,36
88,9040,4306.6468888399995,7365.821760000519,18.334999999999997,0.9666666666666667,6.18,69
89,57362,8787.418626954915,3483.759400000008,8.796388888888888,0.6,21.17,6
90,60973,6279.167546050886,8695.20520000026,16.629722222222224,0.6666666666666666,18.93,17
91,67825,9153.686296352518,4892.736640000493,9.069166666666666,4.533333333333333,12.0,36
92,72020,8345.663136649971,7102.10468000034,13.251944444444444,1.85,10.73,57
