,index,x,y,time,demand,energy,grid_id
0,29894,6638.354108923257,4347.825239999964,20.046666666666667,3.033333333333333,20.29,21
1,72363,10517.27577442441,7282.665720000069,20.7875,19.333333333333332,45.99,74
2,2411,10469.335363787975,2777.1000400005,18.278333333333332,3.466666666666667,9.5,88
3,1089,6000.394791233802,1045.072160000143,12.119166666666667,0.8166666666666667,4.6,3
4,27881,2058.358915399357,5122.501120000179,18.063055555555557,2.05,13.3,2
5,33148,6599.649924189245,3419.1938000000796,8.897222222222222,3.1,22.37,23
6,1431,3345.7715207902206,1497.69928000033,15.365277777777777,1.2,8.37,46
7,2912,3477.658962406566,7197.2832800004935,14.9025,2.033333333333333,13.5,48
8,37546,11009.87448922084,6582.796880000027,10.501666666666667,0.6833333333333333,4.6,51
9,9494,235.52376051205067,3523.611960000635,19.061666666666667,0.1,0.43,68
10,20303,6938.164933851449,2281.948680000104,18.140277777777776,2.283333333333333,15.44,87
11,56120,2557.8481479325096,6285.68380000032,14.336666666666668,2.75,8.84,33
12,5328,8843.246481298522,2976.9194400006477,21.70888888888889,2.7333333333333334,17.9,16
13,48192,9835.334428628103,2070.885959999868,22.581666666666667,0.35,13.76,85
14,7793,6482.657729425116,5600.620520000073,20.290833333333335,3.1666666666666665,20.0,18
15,77,3345.7715207902206,1497.69928000033,18.771944444444443,0.016666666666666666,0.09,46
16,7031,4432.1422757047985,5621.771320000459,20.97972222222222,2.75,18.2,41
17,50037,7141.215296944614,3313.9963999999095,13.955555555555556,1.0166666666666666,6.26,25
18,28458,4768.531487341835,1830.991360000447,21.758055555555554,2.9833333333333334,20.88,40
19,31716,4432.1422757047985,5621.771320000459,21.557222222222222,0.13333333333333333,0.9,41
20,71441,8102.955644880511,5576.798040000105,9.595555555555556,1.85,12.79,78
21,21291,5917.6352750127835,7529.684800000486,18.580277777777777,1.45,9.3,4
22,67795,6395.280100252887,5653.7201600004755,9.248333333333333,4.133333333333334,11.72,54
23,50168,6150.886630739291,8319.054919999986,10.216111111111111,1.0166666666666666,5.93,7
24,39078,8268.474677322514,903.9184000005827,9.762222222222222,3.8833333333333333,27.11,79
25,24145,10907.68957725266,4685.90407999986,19.26722222222222,0.1,0.7,82
